Source,Target,Weight,Avg_Popularity,Avg_Streams
reggaeton,urbano latino,561,32.41304347826087,861942.8586956522
trap latino,urbano latino,488,32.97530864197531,850932.8148148148
reggaeton,trap latino,484,33.70238095238095,835987.3214285715
urbano latino,urbano latino,282,31.797619047619047,858009.4642857143
reggaeton,reggaeton,279,32.54022988505747,855016.4712643678
trap latino,trap latino,211,28.945454545454545,705241.7818181819
latin hip hop,reggaeton,125,35.08163265306123,777552.306122449
latin hip hop,urbano latino,125,34.26086956521739,764903.6304347826
reggaeton flow,urbano latino,107,35.875,842236.25
reggaeton,reggaeton flow,105,35.875,842236.25
reggaeton flow,trap latino,101,35.875,842236.25
latin hip hop,trap latino,99,31.324324324324323,754040.8918918918
pop,rap,95,27.242857142857144,295952.27142857143
pop,pop,77,39.40298507462686,634097.2089552239
latin pop,urbano latino,69,40.86538461538461,900891.0384615385
latin pop,reggaeton,66,40.46938775510204,925857.8775510204
hip hop,pop,64,29.88,294756.44
puerto rican pop,reggaeton,57,29.20689655172414,1231464.4137931035
puerto rican pop,urbano latino,55,30.035714285714285,1224350.25
reggaeton colombiano,urbano latino,54,27.933333333333334,1017641.5666666667
reggaeton,reggaeton colombiano,52,29.033333333333335,937838.6
pop,trap,52,32.8780487804878,324104.60975609755
hip hop,rap,49,42.7,481890.4
dance pop,pop,47,48.41935483870968,621196.5161290322
latin pop,trap latino,46,41.73529411764706,895642.0294117647
rap,trap,45,44.04761904761905,447038.71428571426
pop,pop rap,44,42.96969696969697,406354.6060606061
pop,pop dance,44,32.54838709677419,561947.2258064516
edm,pop,43,40.81818181818182,563423.4242424242
rap,rap,41,41.0,386263.61904761905
puerto rican pop,trap latino,40,21.58823529411765,1420983.9411764706
reggaeton colombiano,trap latino,39,29.047619047619047,835913.9523809524
pop rap,rap,37,58.42857142857143,590924.6428571428
atl hip hop,pop,31,28.703703703703702,304888.25925925927
colombian pop,latin pop,28,28.904761904761905,763415.3333333334
latin pop,latin pop,28,37.0,677515.75
hip hop,trap,27,51.63636363636363,403927.54545454547
pop,urbano latino,27,35.8,722166.3
pop,southern hip hop,27,34.857142857142854,309607.85714285716
pop,reggaeton,26,35.0,657979.05
latin hip hop,latin pop,26,46.166666666666664,851939.4166666666
pop rap,trap,25,55.083333333333336,351791.4166666667
dance pop,urbano latino,25,45.73684210526316,860684.5789473684
colombian pop,reggaeton,25,38.05263157894737,770285.4210526316
colombian pop,urbano latino,25,39.21052631578947,819048.1052631579
dance pop,reggaeton,23,44.166666666666664,836560.2777777778
hip hop,pop rap,23,51.285714285714285,268535.0
pop,r&b,22,40.55555555555556,430990.27777777775
atl hip hop,rap,22,36.38461538461539,363958.3076923077
latin pop,reggaeton colombiano,21,37.77777777777778,834748.5
melodic rap,rap,19,42.25,519788.0833333333
pop,trap latino,19,32.214285714285715,712792.2142857143
dance pop,rap,19,53.61538461538461,529421.0
latin hip hop,reggaeton flow,18,38.45454545454545,905933.7272727273
electro house,pop,18,37.92857142857143,405101.85714285716
edm,pop dance,18,43.8,447051.6
latin hip hop,puerto rican pop,17,19.625,1323870.75
hip hop,melodic rap,17,38.36363636363637,483006.9090909091
dance pop,trap latino,17,39.69230769230769,739741.6923076923
reggaeton flow,reggaeton flow,16,47.625,1057720.25
canadian pop,rap,16,36.75,209207.125
dance pop,pop dance,15,36.07692307692308,593928.3846153846
mexican pop,urbano latino,15,48.4,607636.9333333333
latin pop,pop,14,30.214285714285715,633054.7857142857
rap,reggaeton,14,25.0,52291.857142857145
pop,uk pop,13,36.23076923076923,561597.0769230769
atl hip hop,hip hop,13,41.833333333333336,321468.1666666667
pop,reggaeton colombiano,13,39.7,788606.7
dancehall,reggaeton,13,7.428571428571429,213918.14285714287
dancehall,trap latino,13,7.428571428571429,213918.14285714287
dancehall,urbano latino,13,7.428571428571429,213918.14285714287
dance pop,pop rap,13,52.09090909090909,540874.4545454546
colombian pop,reggaeton colombiano,13,36.0,929958.7
electropop,pop,13,35.9,909388.5
rap,urbano latino,13,19.5,59144.333333333336
mexican pop,reggaeton,13,50.61538461538461,686936.7692307692
dance pop,latin pop,12,36.25,670008.25
melodic rap,pop rap,12,54.75,496164.75
dance pop,reggaeton colombiano,12,35.55555555555556,986964.8888888889
dance pop,edm,12,42.54545454545455,568954.1818181818
colombian pop,trap latino,12,41.77777777777778,417156.3333333333
dance pop,trap,12,61.8,645687.3
pop,uk dance,12,66.88888888888889,656920.4444444445
canadian pop,pop,12,20.272727272727273,652406.6363636364
rap,trap latino,12,10.4,43837.0
canadian pop,hip hop,12,36.75,209207.125
hip hop,hip hop,12,59.833333333333336,316002.3333333333
pop costarricense,pop costarricense,12,23.333333333333332,22393.666666666668
melodic rap,trap,11,41.54545454545455,543355.3636363636
trap,trap,11,49.666666666666664,464140.22222222225
dance pop,dance pop,11,46.81818181818182,412267.2727272727
latin hip hop,reggaeton colombiano,11,33.44444444444444,755993.4444444445
dance pop,hip hop,11,69.25,659240.0
latin hip hop,latin hip hop,11,14.444444444444445,435517.77777777775
latin pop,mexican pop,11,43.36363636363637,491262.45454545453
pop dance,uk pop,10,25.7,318220.5
rap,southern hip hop,10,64.71428571428571,729227.0
detroit hip hop,pop,10,27.625,190817.375
electro latino,latin pop,10,43.375,466962.375
edm,rap,10,50.75,354106.625
electro house,rap,10,50.75,354106.625
pop dance,pop dance,10,34.5,553489.25
latin arena pop,urbano latino,10,33.888888888888886,467007.77777777775
canadian pop,trap,10,42.0,238598.57142857142
canadian pop,pop rap,10,36.666666666666664,274137.8333333333
pop rap,pop rap,10,55.75,466518.25
colombian pop,colombian pop,9,22.77777777777778,631412.6666666666
pop,queens hip hop,9,17.0,701785.5
pop rap,reggaeton,9,36.875,272570.125
moombahton,pop,9,24.285714285714285,394881.14285714284
pop,progressive house,9,59.75,780831.25
melodic rap,pop,9,41.625,570364.0
reggaeton,trap,9,23.4,61117.6
trap,urbano latino,9,23.4,61117.6
atl hip hop,pop rap,9,54.8,390284.0
miami hip hop,pop,9,57.0,702413.8333333334
dance pop,latin hip hop,9,53.333333333333336,568704.1111111111
canadian pop,pop dance,9,38.0,966618.3333333334
latin arena pop,reggaeton,9,33.857142857142854,574099.1428571428
puerto rican pop,reggaeton flow,8,20.5,933882.6666666666
conscious hip hop,pop,8,28.25,446507.25
latin pop,puerto rican pop,8,36.625,677332.25
rap latina,urbano latino,8,36.333333333333336,1183080.5
hip pop,pop,8,11.142857142857142,800443.8571428572
southern hip hop,trap,8,60.8,452033.6
pop rap,urbano latino,8,33.857142857142854,309912.0
electro latino,reggaeton,8,0.0,590935.2
electro latino,urbano latino,8,0.0,590935.2
atl hip hop,dance pop,8,55.57142857142857,310633.71428571426
reggaeton,traphall,8,0.0,312520.0
trap latino,traphall,8,0.0,312520.0
traphall,urbano latino,8,0.0,312520.0
r&b,rap,8,44.0,671459.7142857143
electro house,pop dance,8,39.5,512664.25
atl hip hop,reggaeton,8,13.0,42476.75
atl hip hop,trap latino,8,13.0,42476.75
trap,trap latino,8,13.0,42476.75
atl hip hop,urbano latino,8,13.0,42476.75
latin arena pop,latin pop,8,32.875,418394.625
miami hip hop,rap,8,59.0,710663.0
atl hip hop,trap,8,40.42857142857143,345016.71428571426
canadian pop,edm,8,38.0,966618.3333333334
pop,west coast rap,7,31.857142857142858,279209.0
pop rap,trap latino,7,28.666666666666668,338950.5
dancehall,pop,7,44.5,807150.6666666666
reggaeton,vallenato,7,54.0,493412.6666666667
urbano latino,vallenato,7,54.0,493412.6666666667
cubaton,latin pop,7,72.0,821666.4
edm,trap,7,58.0,349211.14285714284
electro house,trap,7,58.0,349211.14285714284
rap,urban contemporary,7,29.666666666666668,424950.5
latin hip hop,mexican pop,7,58.285714285714285,405863.71428571426
new orleans rap,rap,7,50.666666666666664,620226.6666666666
colombian pop,latin hip hop,7,55.833333333333336,499839.0
latin hip hop,pop,7,39.0,912972.7142857143
edm,edm,7,46.0,291525.6666666667
mexican pop,trap latino,7,44.142857142857146,348087.85714285716
hip hop,rock,7,71.4,53969.0
latin pop,reggaeton flow,7,54.75,699002.75
reggaeton,spanish pop,7,26.833333333333332,466640.5
spanish pop,urbano latino,7,26.833333333333332,466640.5
bachata,reggaeton,7,76.0,685595.0
bachata,trap latino,7,76.0,685595.0
bachata,urbano latino,7,76.0,685595.0
hip hop,modern rock,7,69.0,121365.0
modern rock,pop rap,7,72.5,129794.0
modern rock,trap,7,72.5,129794.0
latin pop,vallenato,6,33.666666666666664,720407.3333333334
rap latina,reggaeton,6,36.333333333333336,1183080.5
rap latina,trap latino,6,36.333333333333336,1183080.5
uk dance,uk pop,6,7.0,129773.16666666667
electro latino,reggaeton colombiano,6,0.0,269992.5
cubaton,dance pop,6,51.0,1090957.0
dance pop,southern hip hop,6,71.8,870167.6
edm,hip hop,6,67.5,404916.5
electro house,hip hop,6,67.5,404916.5
house,pop,6,75.4,441378.8
barbadian pop,rap,6,35.6,432265.6
pop,tropical house,6,41.8,526422.8
atl hip hop,melodic rap,6,38.666666666666664,464795.5
edm,uk pop,6,35.833333333333336,429537.0
hip hop,r&b,6,46.0,294563.0
miami hip hop,pop rap,6,41.333333333333336,541547.3333333334
hip hop,new orleans rap,6,50.666666666666664,620226.6666666666
new orleans rap,pop rap,6,50.666666666666664,620226.6666666666
atl hip hop,canadian pop,6,58.8,331778.0
chicago rap,rap,6,37.0,811494.0
conscious hip hop,rap,6,37.0,811494.0
latin pop,tropical,6,23.333333333333332,239432.16666666666
colombian pop,mexican pop,6,10.166666666666666,346075.6666666667
latin arena pop,trap latino,6,35.6,524236.8
rap,rock,6,71.4,53969.0
pop,urban contemporary,6,46.0,241590.6
hip hop,reggaeton,6,43.75,59039.0
reggaeton,slovenian pop,6,0.0,2695182.0
slovenian pop,trap latino,6,0.0,2695182.0
slovenian pop,urbano latino,6,0.0,2695182.0
spanish pop,trap latino,6,26.833333333333332,466640.5
alt z,pop,6,51.0,58555.2
hip hop,southern hip hop,6,70.33333333333333,82554.33333333333
dance pop,miami hip hop,6,63.0,459691.6666666667
reggaeton colombiano,reggaeton flow,6,73.0,927569.6666666666
puerto rican pop,reggaeton colombiano,5,28.8,1713903.2
colombian pop,dance pop,5,24.4,726914.0
colombian pop,vallenato,5,28.0,763588.6
tropical house,uk pop,5,22.0,187596.4
pop,post-teen pop,5,58.2,829737.2
pop rap,reggaeton colombiano,5,35.4,420827.2
dance pop,dancehall,5,28.4,287867.0
dance pop,electro latino,5,38.0,492321.4
latin pop,pop rap,5,42.4,409336.6
reggae fusion,reggaeton,5,48.25,1145113.25
reggae fusion,trap latino,5,48.25,1145113.25
reggae fusion,urbano latino,5,48.25,1145113.25
colombian pop,electro latino,5,0.0,334694.6666666667
reggaeton colombiano,reggaeton colombiano,5,28.0,800749.6
indie pop rap,pop,5,46.8,17694.0
oakland hip hop,pop,5,46.8,17694.0
atl hip hop,edm,5,65.0,198296.6
atl hip hop,electro house,5,65.0,198296.6
hip hop,house,5,72.8,431254.0
house,rap,5,72.8,431254.0
house,trap,5,72.8,431254.0
hip hop,progressive house,5,72.8,431254.0
progressive house,rap,5,72.8,431254.0
progressive house,trap,5,72.8,431254.0
hip hop,uk dance,5,72.8,431254.0
rap,uk dance,5,72.8,431254.0
trap,uk dance,5,72.8,431254.0
barbadian pop,hip hop,5,35.6,432265.6
hip hop,urban contemporary,5,35.6,432265.6
pop,toronto rap,5,15.0,347927.75
dancehall,latin hip hop,5,0.0,443671.0
moombahton,pop dance,5,25.666666666666668,676452.0
east coast hip hop,rap,5,24.666666666666668,3915.0
indie pop rap,rap,5,49.0,98301.33333333333
latin arena pop,latin hip hop,5,51.6,482761.4
canadian contemporary r&b,pop,5,30.8,304331.8
miami hip hop,trap,5,52.333333333333336,543410.6666666666
edm,electro house,5,38.5,344988.0
complextro,pop,5,15.4,313110.0
dance pop,r&b,5,60.5,1169629.0
rap,toronto rap,5,45.333333333333336,139438.66666666666
electro latino,trap latino,5,0.0,590935.2
pop rap,rock,5,75.66666666666667,89816.66666666667
latin pop,spanish pop,5,12.5,552422.25
cubaton,reggaeton,5,44.666666666666664,1364690.3333333333
indie poptimism,pop,5,39.4,562565.0
mexican pop,reggaeton colombiano,5,51.6,662397.0
reggaeton colombiano,spanish pop,5,12.5,387990.5
pop rap,southern hip hop,5,74.5,121542.5
pop dance,rap,5,14.0,225527.66666666666
polish hip hop,pop costarricense,5,19.0,24386.0
polish trap,pop costarricense,5,19.0,24386.0
pop costarricense,rap espanol,5,19.0,24386.0
indie tico,pop costarricense,5,19.0,24386.0
modern rock,rap,5,69.0,121365.0
rock,trap,5,70.0,89683.33333333333
hip hop,urbano latino,5,39.0,74993.0
canadian pop,electro,4,62.25,844527.5
electro,pop,4,62.25,844527.5
brostep,pop,4,60.5,259976.5
edm,post-teen pop,4,57.75,683529.0
pop,progressive electro house,4,41.25,287592.25
melodic rap,southern hip hop,4,56.5,505619.0
edm,pop rap,4,33.25,381550.75
dance pop,electro house,4,43.25,446113.25
electro house,pop rap,4,33.25,381550.75
pop dance,pop rap,4,13.25,407023.75
cubaton,mexican pop,4,73.33333333333333,1060452.6666666667
edm,southern hip hop,4,52.75,380349.0
electro house,southern hip hop,4,52.75,380349.0
atl hip hop,house,4,71.0,179563.5
atl hip hop,progressive house,4,71.0,179563.5
atl hip hop,uk dance,4,71.0,179563.5
edm,pop r&b,4,69.0,144851.25
pop,pop r&b,4,72.75,270730.5
latin hip hop,traphall,4,0.0,312520.0
dance pop,progressive house,4,48.0,1226506.75
dutch edm,pop,4,45.5,1015264.25
dirty south rap,pop,4,21.0,97989.75
pop rap,talent show,4,27.0,126798.0
dance pop,uk pop,4,15.25,383801.25
trap queen,urbano latino,4,36.5,1418593.5
electropop,pop dance,4,21.333333333333332,665575.3333333334
danish pop,pop,4,0.0,975775.0
dance pop,melodic rap,4,35.0,485394.0
pop rap,viral pop,4,31.5,77121.0
east coast hip hop,pop,4,33.0,5730.5
oakland hip hop,rap,4,37.0,4547.0
rap,reggaeton colombiano,4,16.25,73044.0
reggaeton colombiano,trap,4,16.25,73044.0
melodic rap,reggaeton,4,0.0,40304.5
melodic rap,trap latino,4,0.0,40304.5
melodic rap,urbano latino,4,0.0,40304.5
bachata,latin pop,4,35.5,375930.75
canadian pop,electropop,4,18.0,509219.0
canadian pop,southern hip hop,4,36.5,5459.75
new orleans rap,pop,4,38.0,465742.25
canadian pop,melodic rap,4,52.5,413232.25
new orleans rap,trap,4,50.666666666666664,620226.6666666666
chicago rap,hip hop,4,37.0,811494.0
chicago rap,pop rap,4,37.0,811494.0
conscious hip hop,hip hop,4,37.0,811494.0
conscious hip hop,pop rap,4,37.0,811494.0
hip hop,miami hip hop,4,37.0,811494.0
chicago rap,trap,4,37.0,811494.0
conscious hip hop,trap,4,37.0,811494.0
latin pop,modern salsa,4,35.0,352614.0
latin pop,salsa,4,35.0,352614.0
reggaeton,trap dominicano,4,76.0,892494.0
trap dominicano,trap latino,4,76.0,892494.0
trap dominicano,urbano latino,4,76.0,892494.0
australian pop,pop,4,76.25,532582.75
dance pop,uk dance,4,77.25,1133141.5
german techno,pop,4,0.0,371936.0
canadian hip hop,rap,4,68.0,14970.5
colombian pop,latin arena pop,4,0.0,313045.25
cubaton,urbano latino,4,44.666666666666664,1364690.3333333333
latin viral pop,reggaeton,4,60.5,977924.25
latin viral pop,urbano latino,4,60.5,977924.25
electropop,indie poptimism,4,49.25,700900.75
queens hip hop,reggaeton,4,55.0,12294.5
salsa,salsa venezolana,4,0.0,3316.0
salsa,tropical,4,0.0,3316.0
hip pop,rap,4,17.333333333333332,135609.66666666666
queens hip hop,rap,4,17.333333333333332,135609.66666666666
electro latino,mexican pop,4,51.75,477601.5
colombian pop,spanish pop,4,16.666666666666668,492025.3333333333
moombahton,rap,4,20.5,330802.0
pop costarricense,rap tico,4,19.0,24386.0
pop,uk funky,4,51.666666666666664,1120151.3333333333
pop,trap soul,4,78.33333333333333,1188172.6666666667
modern rock,southern hip hop,4,78.0,237692.0
hip hop,trap latino,4,26.0,44649.0
polish hip hop,reggaeton,4,68.0,386600.0
polish hip hop,trap latino,4,68.0,386600.0
polish hip hop,urbano latino,4,68.0,386600.0
colombian pop,pop,3,20.666666666666668,579774.3333333334
dance pop,vallenato,3,20.666666666666668,579774.3333333334
pop,vallenato,3,20.666666666666668,579774.3333333334
canadian contemporary r&b,electro,3,57.333333333333336,1100101.3333333333
canadian contemporary r&b,filter house,3,57.333333333333336,1100101.3333333333
canadian pop,filter house,3,57.333333333333336,1100101.3333333333
filter house,pop,3,57.333333333333336,1100101.3333333333
canadian contemporary r&b,rock,3,57.333333333333336,1100101.3333333333
canadian pop,rock,3,57.333333333333336,1100101.3333333333
pop,rock,3,57.333333333333336,1100101.3333333333
puerto rican pop,rap latina,3,26.0,611854.0
modern reggae,pop,3,0.0,297445.3333333333
rap,slap house,3,57.5,149296.0
rap,uk pop,3,45.333333333333336,62508.0
dancehall,reggaeton colombiano,3,17.333333333333332,49698.0
dance pop,moombahton,3,31.0,115479.0
reggaeton colombiano,vallenato,3,46.666666666666664,861040.3333333334
latin pop,reggae fusion,3,20.0,789842.3333333334
house,southern hip hop,3,70.0,502139.0
progressive house,southern hip hop,3,70.0,502139.0
southern hip hop,uk dance,3,70.0,502139.0
atl hip hop,dfw rap,3,29.333333333333332,679113.0
dfw rap,rap,3,29.333333333333332,679113.0
dfw rap,trap,3,29.333333333333332,679113.0
dance pop,dutch edm,3,37.333333333333336,1156003.6666666667
girl group,hip hop,3,26.333333333333332,167538.0
girl group,pop rap,3,26.333333333333332,167538.0
girl group,southern hip hop,3,26.333333333333332,167538.0
girl group,trap,3,26.333333333333332,167538.0
hip hop,talent show,3,26.333333333333332,167538.0
southern hip hop,talent show,3,26.333333333333332,167538.0
talent show,trap,3,26.333333333333332,167538.0
neo soul,pop,3,51.333333333333336,218054.66666666666
danish pop,edm,3,0.0,975775.0
edm,electropop,3,0.0,975775.0
danish pop,pop dance,3,0.0,975775.0
indie pop rap,trap,3,49.0,98301.33333333333
atl hip hop,reggaeton colombiano,3,0.0,52165.0
canadian pop,r&b,3,24.333333333333332,7934.0
pop dance,uk contemporary r&b,3,0.0,94538.0
uk contemporary r&b,uk dance,3,0.0,94538.0
melodic rap,miami hip hop,3,52.333333333333336,543410.6666666666
cubaton,tropical,3,46.666666666666664,309562.0
electro latino,tropical,3,46.666666666666664,309562.0
latin hip hop,tropical,3,46.666666666666664,309562.0
edm,moombahton,3,38.5,344988.0
canadian pop,electro house,3,38.5,708593.0
reggaeton,vallenato moderno,3,59.0,290664.3333333333
trap latino,vallenato,3,61.333333333333336,125785.0
urbano latino,vallenato moderno,3,59.0,290664.3333333333
atl hip hop,canadian hip hop,3,68.0,14970.5
canadian hip hop,trap,3,68.0,14970.5
atl hip hop,toronto rap,3,68.0,14970.5
toronto rap,trap,3,68.0,14970.5
big room,pop,3,64.33333333333333,392659.0
canadian pop,dance pop,3,51.0,777810.6666666666
pop,viral pop,3,67.33333333333333,745104.3333333334
latin arena pop,spanish pop,3,20.666666666666668,689246.6666666666
pop,pop soul,3,55.0,58881.333333333336
electronic trap,pop,3,0.0,1524974.5
latin viral pop,trap latino,3,61.0,1242921.0
gangster rap,pop,3,43.333333333333336,396115.6666666667
salsa,salsa,3,0.0,3316.0
salsa venezolana,tropical,3,0.0,3316.0
czech hip hop,pop,3,78.0,383157.0
czsk hip hop,pop,3,78.0,383157.0
latin pop,talent show,3,29.333333333333332,130791.33333333333
hip hop,hip pop,3,43.333333333333336,952494.0
hip hop,queens hip hop,3,43.333333333333336,952494.0
hip pop,trap,3,43.333333333333336,952494.0
queens hip hop,trap,3,43.333333333333336,952494.0
pop,slap house,3,20.5,138348.0
alt z,electropop,3,36.666666666666664,92302.0
dance pop,urban contemporary,3,56.666666666666664,360216.0
pittsburgh rap,pop,3,65.33333333333333,81599.66666666667
gangster rap,hip hop,3,66.5,4985.5
gangster rap,rap,3,66.5,4985.5
hip hop,pittsburgh rap,3,74.5,121542.5
pittsburgh rap,pop rap,3,74.5,121542.5
contemporary country,pop,3,38.5,95327.5
country,pop,3,38.5,95327.5
country pop,pop,3,38.5,95327.5
country road,pop,3,38.5,95327.5
modern country rock,pop,3,38.5,95327.5
modern alternative rock,pop,3,39.0,212980.5
dance pop,hip pop,3,26.0,1076451.0
dance pop,queens hip hop,3,26.0,1076451.0
rock,southern hip hop,3,71.5,123577.0
pop rap,r&b,3,78.5,725056.0
rap,trap soul,3,78.0,1538360.0
czech hip hop,hip hop,3,78.0,237692.0
czsk hip hop,hip hop,3,78.0,237692.0
czech hip hop,pop rap,3,78.0,237692.0
czsk hip hop,pop rap,3,78.0,237692.0
czech hip hop,trap,3,78.0,237692.0
czsk hip hop,trap,3,78.0,237692.0
hip hop,modern alternative rock,3,78.0,237692.0
hip hop,stomp pop,3,78.0,237692.0
modern alternative rock,pop rap,3,78.0,237692.0
pop rap,stomp pop,3,78.0,237692.0
modern alternative rock,trap,3,78.0,237692.0
stomp pop,trap,3,78.0,237692.0
hip hop,uk hip hop,3,42.0,31703.0
rap,uk hip hop,3,42.0,31703.0
pop,puerto rican pop,3,1.0,840586.3333333334
hip pop,reggaeton,3,52.0,13412.0
hip pop,trap latino,3,52.0,13412.0
queens hip hop,trap latino,3,52.0,13412.0
hip pop,urbano latino,3,52.0,13412.0
queens hip hop,urbano latino,3,52.0,13412.0
cubaton,trap latino,3,30.0,1010964.0
cubaton,pop,3,29.0,1069073.0
cubaton,latin hip hop,3,36.0,1026765.0
miami hip hop,reggaeton,3,27.5,1632157.5
miami hip hop,miami hip hop,3,50.0,1654.0
brostep,post-teen pop,2,41.0,238100.5
post-teen pop,progressive electro house,2,41.0,238100.5
atl hip hop,slap house,2,57.5,149296.0
melodic rap,slap house,2,57.5,149296.0
slap house,trap,2,57.5,149296.0
detroit hip hop,singer-songwriter pop,2,38.0,32265.0
hip hop,singer-songwriter pop,2,38.0,32265.0
rap,singer-songwriter pop,2,38.0,32265.0
detroit hip hop,uk pop,2,38.0,32265.0
hip hop,uk pop,2,38.0,32265.0
edm,reggaeton,2,26.0,36604.0
electro house,reggaeton,2,26.0,36604.0
moombahton,reggaeton,2,26.0,36604.0
pop dance,reggaeton,2,26.0,36604.0
edm,reggaeton colombiano,2,26.0,36604.0
electro house,reggaeton colombiano,2,26.0,36604.0
moombahton,reggaeton colombiano,2,26.0,36604.0
pop dance,reggaeton colombiano,2,26.0,36604.0
edm,trap latino,2,26.0,36604.0
electro house,trap latino,2,26.0,36604.0
moombahton,trap latino,2,26.0,36604.0
pop dance,trap latino,2,26.0,36604.0
edm,urbano latino,2,26.0,36604.0
electro house,urbano latino,2,26.0,36604.0
moombahton,urbano latino,2,26.0,36604.0
pop dance,urbano latino,2,26.0,36604.0
dancehall,edm,2,26.0,36604.0
dancehall,electro house,2,26.0,36604.0
dancehall,moombahton,2,26.0,36604.0
moombahton,pop rap,2,26.0,36604.0
dancehall,pop dance,2,26.0,36604.0
colombian pop,pop rap,2,30.0,947623.5
colombian pop,reggae fusion,2,30.0,947623.5
electro latino,pop rap,2,30.0,947623.5
electro latino,reggae fusion,2,30.0,947623.5
reggae fusion,reggaeton colombiano,2,30.0,947623.5
electropop,indie pop rap,2,40.5,22050.5
etherpop,indie pop rap,2,40.5,22050.5
indie pop rap,indie poptimism,2,40.5,22050.5
electropop,oakland hip hop,2,40.5,22050.5
etherpop,oakland hip hop,2,40.5,22050.5
indie poptimism,oakland hip hop,2,40.5,22050.5
electropop,pop rap,2,40.5,22050.5
etherpop,pop rap,2,40.5,22050.5
indie poptimism,pop rap,2,40.5,22050.5
electropop,rap,2,40.5,22050.5
etherpop,rap,2,40.5,22050.5
indie poptimism,rap,2,40.5,22050.5
dance pop,pop r&b,2,65.0,34200.5
electro house,pop r&b,2,65.0,34200.5
house,pop r&b,2,65.0,34200.5
pop r&b,progressive house,2,65.0,34200.5
pop r&b,uk dance,2,65.0,34200.5
atl hip hop,pop r&b,2,65.0,34200.5
hip hop,pop r&b,2,65.0,34200.5
pop r&b,rap,2,65.0,34200.5
pop r&b,southern hip hop,2,65.0,34200.5
pop r&b,trap,2,65.0,34200.5
barbadian pop,canadian hip hop,2,0.0,440171.0
canadian hip hop,pop,2,0.0,440171.0
canadian hip hop,urban contemporary,2,0.0,440171.0
barbadian pop,canadian pop,2,0.0,440171.0
canadian pop,urban contemporary,2,0.0,440171.0
barbadian pop,toronto rap,2,0.0,440171.0
toronto rap,urban contemporary,2,0.0,440171.0
boy band,pop dance,2,0.0,118246.0
boy band,tropical house,2,0.0,118246.0
dfw rap,hip hop,2,1.5,556479.0
dutch edm,uk pop,2,44.0,933295.5
progressive house,uk pop,2,44.0,933295.5
atl hip hop,girl group,2,0.0,7408.0
dirty south rap,girl group,2,0.0,7408.0
girl group,rap,2,0.0,7408.0
atl hip hop,talent show,2,0.0,7408.0
dirty south rap,talent show,2,0.0,7408.0
rap,talent show,2,0.0,7408.0
dancehall,uk pop,2,30.5,680774.5
pop rap,uk pop,2,30.5,680774.5
dance pop,lgbtq+ hip hop,2,77.0,324926.5
dance pop,neo soul,2,77.0,324926.5
edm,lgbtq+ hip hop,2,77.0,324926.5
edm,neo soul,2,77.0,324926.5
electro house,lgbtq+ hip hop,2,77.0,324926.5
electro house,neo soul,2,77.0,324926.5
house,lgbtq+ hip hop,2,77.0,324926.5
house,neo soul,2,77.0,324926.5
lgbtq+ hip hop,pop,2,77.0,324926.5
lgbtq+ hip hop,progressive house,2,77.0,324926.5
neo soul,progressive house,2,77.0,324926.5
lgbtq+ hip hop,uk dance,2,77.0,324926.5
neo soul,uk dance,2,77.0,324926.5
atl hip hop,lgbtq+ hip hop,2,77.0,324926.5
hip hop,lgbtq+ hip hop,2,77.0,324926.5
lgbtq+ hip hop,rap,2,77.0,324926.5
lgbtq+ hip hop,trap,2,77.0,324926.5
atl hip hop,neo soul,2,77.0,324926.5
hip hop,neo soul,2,77.0,324926.5
neo soul,rap,2,77.0,324926.5
neo soul,trap,2,77.0,324926.5
rap latina,reggaeton colombiano,2,36.5,1418593.5
reggaeton,trap queen,2,36.5,1418593.5
reggaeton colombiano,trap queen,2,36.5,1418593.5
trap latino,trap queen,2,36.5,1418593.5
dance pop,rap latina,2,36.5,1418593.5
pop,rap latina,2,36.5,1418593.5
dance pop,trap queen,2,36.5,1418593.5
pop,trap queen,2,36.5,1418593.5
detroit hip hop,r&b,2,0.0,5100.5
electro house,nyc pop,2,26.0,61721.5
dance pop,danish pop,2,0.0,975775.0
dance pop,electropop,2,0.0,975775.0
danish pop,electro house,2,0.0,975775.0
electro house,electropop,2,0.0,975775.0
danish pop,moombahton,2,0.0,975775.0
electropop,moombahton,2,0.0,975775.0
piano rock,pop rap,2,39.5,150129.5
piano rock,seattle hip hop,2,39.5,150129.5
seattle hip hop,viral pop,2,39.5,150129.5
east coast hip hop,indie pop rap,2,37.0,4547.0
east coast hip hop,oakland hip hop,2,37.0,4547.0
east coast hip hop,pop rap,2,37.0,4547.0
hip hop,indie pop rap,2,37.0,4547.0
hip hop,oakland hip hop,2,37.0,4547.0
oakland hip hop,trap,2,37.0,4547.0
melodic rap,reggaeton colombiano,2,0.0,40304.5
aussietronica,melbourne bounce,2,46.5,242909.5
bachata,latin arena pop,2,34.0,92188.0
bachata,mexican pop,2,34.0,92188.0
art pop,canadian contemporary r&b,2,38.0,18035.5
art pop,canadian pop,2,38.0,18035.5
art pop,pop,2,38.0,18035.5
canadian pop,detroit hip hop,2,0.0,5650.0
dance pop,uk contemporary r&b,2,0.0,86828.0
edm,uk contemporary r&b,2,0.0,86828.0
house,uk contemporary r&b,2,0.0,86828.0
house,uk pop,2,0.0,86828.0
uk contemporary r&b,uk pop,2,0.0,86828.0
