song_id	song_name	popularity	explicit	track_number	num_available_markets	duration_ms	artist_id	artist_name	num_artists	song_type	release_date	key	mode	time_signature	acousticness	danceability	energy	instrumentalness	liveness	loudness	speechiness	valence	tempo	total_streams
3mQ6SLdxxaL52Yte7KF2Ks	Morado	66	False	1	184	200666	['1vyhD5VmyZ7KMfW5gqLgo5']	['J Balvin']	1	Solo	2020-01-09	11.0	0.0	4.0	0.137	0.881	0.696	4.13e-05	0.0927	-3.838	0.0797	0.781	97.002	31185691
5QSYWruQQ7kBCHScI4xJ9g	Bajo El Agua	76	False	2	184	225838	['0i5iO6icb7kxg48thi9gBM']	['Manuel Medrano']	1	Solo	2015-10-30	4.0	1.0	4.0	0.767	0.616	0.454	3.48e-05	0.105	-8.504	0.0273	0.249	99.998	87096
3pm4XtcsRIFFtH2UErk62R	CANCIÓN CON YANDEL	75	True	4	184	209180	['0eHQ9o50hj6ZDNBt6Ys1sD', '4q3ewBCX7sLwd24euuV69X']	['Yandel', 'Bad Bunny']	2	Collaboration	2020-05-10	9.0	1.0	4.0	0.447	0.75	0.741	0.0	0.121	-4.43	0.402	0.495	79.968	27965278
56tOMi4N980gmsdUoyaLb3	Rebelde	64	False	1	184	214306	['7cjh6y0V9SsyCrWSXTzwOs', '0TeVa4xdLB8vdzjsvKH6Ri', '6kaefrHSdAvxhhCVDFTCEL', '6ModsWtBph2rE6zCTVxvZt', '0aMqt2uGLuHj4eI8oXgVzN', '5O8cudluftNZ6PCwRzvYxo', '0veZkZPeWoJQ9gt6VAXlkN']	['RBD', 'Anahí', 'Dulce María', 'Maite Perroni', 'Christian Chávez', 'Christopher von Uckermann', 'Alfonso Herrera']	7	Collaboration	2004-01-01	7.0	1.0	4.0	0.0122	0.671	0.782	0.0	0.525	-6.498	0.047	0.62	95.011	674728
2vrpcQNg6itmgVZWsNjWe0	Un Año	75	False	3	184	163813	['07YUOmWljBTXwIseAUd9TW', '0vR2qb8m9WHeZ5ByCbimq2']	['Sebastian Yatra', 'Reik']	2	Collaboration	2019-04-12	1.0	0.0	4.0	0.14	0.773	0.378	0.0	0.133	-7.062	0.0531	0.513	94.946	10570538
0fgsKar6uBO08vzHXkTjWi	P FKN R	66	True	18	184	258280	['4q3ewBCX7sLwd24euuV69X', '1WMwuNKzEFtU6pPkdtryYS', '4SsVbpTthjScTS7U2hmr1X']	['Bad Bunny', 'Kendo Kaponi', 'Arcángel']	3	Collaboration	2020-02-29	5.0	0.0	4.0	0.409	0.82	0.635	0.0	0.244	-5.749	0.0772	0.528	101.024	6217444
7jtbRKtXtGtsJOBMaBo72W	Me Gustas	75	False	7	184	207586	['7FsRH5bw8iWpSbMX1G7xf1']	['Joan Sebastian']	1	Solo	2000-04-05	5.0	1.0	4.0	0.554	0.572	0.433	7.37e-05	0.108	-8.086	0.0294	0.504	145.375	77690
6b2RcmUt1g9N9mQ3CbjX2Y	How Do You Sleep?	74	False	1	184	202204	['2wY79sveU1sp5g7SokKOiI']	['Sam Smith']	1	Solo	2019-07-19	1.0	0.0	5.0	0.153	0.477	0.682	0.0	0.0763	-4.931	0.0925	0.345	110.567	11014679
63USmok1OioBzKuWGW9wAg	Nunca Es Suficiente	70	False	2	1	266213	['0ZCO8oVkMj897cKgFH7fRW', '1hcdI2N1023RvSwLzTtdsp']	['Los Ángeles Azules', 'Natalia Lafourcade']	2	Collaboration	2018-06-08	2.0	0.0	4.0	0.398	0.789	0.518	0.0	0.0891	-5.417	0.0406	0.78	94.001	34557690
7bqkK6DMlXwcIHbSzLq1xx	Guadalajara	52	False	6	184	176906	['0JTujDbHVqhWAGl06aaW78']	['Mariachi Vargas De Tecalitlán']	1	Solo	1988-01-15	5.0	1.0	3.0	0.454	0.442	0.658	0.00176	0.322	-6.475	0.0739	0.72	188.409	345837
